,Date,Model,Duration,PromoAmt,Forecast,Adj_Forecast,Adj_ForecastCY,Adj_ForecastNCY,Profit_Promo,Profit_NoPromo,incremental_Retail,PromoCost,incremental_Profit,Profitability,Retail,Retail_var1,Retail_var
0,2017-12-31,OUTLANDER 1000,4,1000,135,171.92000000000002,129.75,42.17,636506.91,492040.32,36.920000000000016,171920.0,-27453.409999999974,27390729.44,7713.92,1.0048091702487951,0.004809170248795104
0,2017-12-31,OUTLANDER 1000,5,1000,214,271.12,200.15,70.97,999374.32,776023.52,57.120000000000005,271120.0,-47769.20000000007,27370413.650000002,7734.12,1.0074404064087534,0.00744040640875342
0,2017-12-31,OUTLANDER 1000,6,1000,249,316.27000000000004,236.04000000000002,80.23,1168324.6,905196.4199999999,67.27000000000004,316270.0,-53141.81999999983,27365041.03,7744.27,1.0087625374495246,0.008762537449524559
0,2017-12-31,OUTLANDER 1000,7,1000,294,374.51000000000005,282.97,91.54,1386883.2,1071839.34,80.51000000000005,374510.0,-59466.14000000013,27358716.71,7757.51,1.01048716946724,0.010487169467239814
0,2017-12-31,OUTLANDER 1000,8,1000,341,436.22,335.42,100.80000000000001,1621149.6,1248342.78,95.22000000000003,436220.0,-63413.179999999935,27354769.67,7772.22,1.012403282532239,0.012403282532239159
0,2017-12-31,OUTLANDER 1000,9,1000,412,531.41,422.38,109.03000000000002,1988483.83,1520493.34,119.40999999999997,531410.0,-63419.51000000001,27354763.34,7796.41,1.0155542529633972,0.015554252963397157
0,2017-12-31,OUTLANDER 1000,10,1000,473,609.98,484.49,125.49000000000001,2282150.0700000003,1745313.37,136.98000000000002,609980.0,-73143.29999999981,27345039.55,7813.98,1.0178429073856974,0.01784290738569754
0,2017-12-31,OUTLANDER 1000,11,1000,533,688.9200000000001,552.12,136.8,2582353.8299999996,1971119.45,155.92000000000007,688920.0,-77685.62000000034,27340497.23,7832.92,1.020310016933698,0.020310016933698067
0,2017-12-31,OUTLANDER 1000,12,1000,617,799.94,648.74,151.20000000000002,3006040.9699999997,2288628.4299999997,182.94000000000005,799940.0,-82527.45999999996,27335655.39,7859.9400000000005,1.023829620945682,0.023829620945681914
0,2017-12-31,OUTLANDER 1000,13,1000,740,964.4399999999999,797.81,166.63000000000002,3639648.89,2758975.6,224.43999999999994,964440.0,-83766.70999999996,27334416.14,7901.44,1.029235378403022,0.029235378403022007
0,2017-12-31,OUTLANDER 1000,14,1000,808,1055.4899999999998,880.6299999999999,174.86,3990654.0799999996,3019293.52,247.48999999999978,1055490.0,-84129.44000000041,27334053.41,7924.49,1.032237853328123,0.032237853328122935
0,2017-12-31,OUTLANDER 1000,15,1000,889,1163.78,978.6299999999999,185.15,4407626.21,3328914.08,274.78,1163780.0,-85067.87000000011,27333114.98,7951.78,1.0357926273283835,0.03579262732838348
0,2017-12-31,OUTLANDER 1000,1,1250,22,28.06,17.7,10.36,100459.05,76912.11,6.059999999999999,35075.0,-11528.059999999998,27406654.790000003,7683.06,1.0007893708479876,0.000789370847987495
0,2017-12-31,OUTLANDER 1000,2,1250,59,77.37,54.58,22.79,282691.47,211015.29,18.370000000000005,96712.5,-25036.320000000036,27393146.53,7695.37,1.002392861794972,0.002392861794971995
0,2017-12-31,OUTLANDER 1000,3,1250,91,119.74000000000001,85.56,34.18,438576.54000000004,326383.45999999996,28.74000000000001,149675.0,-37481.919999999925,27380700.93,7705.74,1.0037436498632277,0.0037436498632278247
0,2017-12-31,OUTLANDER 1000,4,1250,135,181.14000000000001,138.67000000000002,42.47,672576.72,492040.32,46.140000000000015,226425.0,-45888.600000000035,27372294.25,7723.14,1.0060101602188356,0.006010160218835485
0,2017-12-31,OUTLANDER 1000,5,1250,214,285.38,213.91000000000003,71.47,1055125.75,776023.52,71.38,356725.0,-77622.77000000002,27340560.080000002,7748.38,1.009297902826625,0.009297902826624984
0,2017-12-31,OUTLANDER 1000,6,1250,249,333.06000000000006,252.27000000000004,80.78999999999999,1233995.72,905196.4199999999,84.06000000000006,416325.0,-87525.69999999995,27330657.150000002,7761.06,1.0109495896834702,0.010949589683470113
0,2017-12-31,OUTLANDER 1000,7,1250,294,394.61000000000007,302.43000000000006,92.17999999999999,1465530.76,1071839.34,100.61000000000007,493262.5,-99571.08000000007,27318611.770000003,7777.61,1.0131053797056142,0.013105379705614182
0,2017-12-31,OUTLANDER 1000,8,1250,341,459.99000000000007,358.49000000000007,101.5,1714213.26,1248342.78,118.99000000000007,574987.5,-109117.02000000002,27309065.830000002,7795.99,1.0154995440927446,0.01549954409274457
0,2017-12-31,OUTLANDER 1000,9,1250,412,561.23,451.44000000000005,109.78999999999999,2105350.8000000003,1520493.34,149.23000000000002,701537.5,-116680.0399999998,27301502.810000002,7826.23,1.0194385827797317,0.019438582779731668
0,2017-12-31,OUTLANDER 1000,10,1250,473,644.19,517.83,126.35999999999999,2416223.66,1745313.37,171.19000000000005,805237.5,-134327.20999999996,27283855.64,7848.1900000000005,1.0222990751595675,0.022299075159567548
0,2017-12-31,OUTLANDER 1000,11,1250,533,727.87,590.12,137.75,2735044.0999999996,1971119.45,194.87,909837.5,-145912.85000000033,27272270.0,7871.87,1.0253836133906473,0.02538361339064739
0,2017-12-31,OUTLANDER 1000,12,1250,617,845.65,693.4,152.25,3185295.5,2288628.4299999997,228.64999999999998,1057062.5,-160395.4299999997,27257787.42,7905.65,1.0297837697017063,0.029783769701706393
0,2017-12-31,OUTLANDER 1000,13,1250,740,1020.52,852.74,167.78,3859706.2800000003,2758975.6,280.52,1275650.0,-174919.31999999983,27243263.53,7957.52,1.0365403152273023,0.03654031522730233
0,2017-12-31,OUTLANDER 1000,14,1250,808,1117.33,941.26,176.07,4233370.97,3019293.52,309.3299999999999,1396662.5,-182585.05000000028,27235597.8,7986.33,1.040293083235639,0.04029308323563891
0,2017-12-31,OUTLANDER 1000,15,1250,889,1232.44,1046.01,186.43,4677173.59,3328914.08,343.44000000000005,1540550.0,-192290.49000000022,27225892.36,8020.4400000000005,1.044736225087925,0.04473622508792498
0,2017-12-31,OUTLANDER 1000,1,1500,22,29.28,18.85,10.43,105201.97,76912.11,7.280000000000001,43920.0,-15630.14,27402552.71,7684.28,1.0009482870913118,0.0009482870913117105
0,2017-12-31,OUTLANDER 1000,2,1500,59,81.05,58.11,22.939999999999998,297058.25,211015.29,22.049999999999997,121575.0,-35532.04000000001,27382650.810000002,7699.05,1.0028722157092615,0.00287221570926143
0,2017-12-31,OUTLANDER 1000,3,1500,91,125.5,91.09,34.41,461068.41,326383.45999999996,34.5,188250.0,-53565.04999999999,27364617.8,7711.5,1.0044939429464634,0.004493942946463462
0,2017-12-31,OUTLANDER 1000,4,1500,135,190.38,147.63,42.75,708745.14,492040.32,55.379999999999995,285570.0,-68865.18,27349317.67,7732.38,1.0072137553731926,0.007213755373192653
0,2017-12-31,OUTLANDER 1000,5,1500,214,299.67,227.72,71.95,1111015.22,776023.52,85.67000000000002,449505.0,-114513.30000000005,27303669.55,7762.67,1.0111593070209717,0.011159307020971735
0,2017-12-31,OUTLANDER 1000,6,1500,249,349.89,268.55,81.34,1299834.4500000002,905196.4199999999,100.88999999999999,524835.0,-130196.96999999974,27287985.880000003,7777.89,1.0131418522860494,0.013141852286049235
